Keyword,Frequency
digital distribution,8229
anime,5480
nudity,4618
sexual content,4617
steam,3920
female protagonist,3870
casual,3738
licensed game,3535
2d,3117
steam achievements,2653
pixel art,2487
free-to-play,2445
fangame,2437
polygonal 3d,2424
achievements,2237
multiple endings,2201
exploration,2192
action-adventure,2188
adult,2173
shoot 'em up,2133
retro,1973
male protagonist,1951
magic,1948
high score,1910
boss fight,1901
roguelike,1887
unofficial,1852
cute,1836
atmospheric,1814
nextfest june 2025,1744
robots,1652
3d,1650
death,1634
management,1632
pixel graphics,1564
voice acting,1525
platform exclusive,1516
steam cloud,1515
minigames,1467
medieval,1433
story rich,1421
abstract,1408
otome,1396
online,1392
turn-based,1377
music and rhythm,1374
explosion,1359
steam trading cards,1357
hidden object,1333
post-apocalyptic,1295
interactive fiction,1294
side-scrolling,1273
sequel,1247
psychological horror,1237
aliens,1224
lgbtq+,1213
human,1190
single-player only,1190
roguelite,1159
martial arts,1157
bloody,1149
nsfw,1134
melee,1127
bink video,1126
crime,1100
difficulty level,1092
based on - anime,1085
playstation trophies,1083
based on - tv show,1067
based on - movie,1042
cat,1033
anthropomorphism,1033
metroidvania,1023
short,1022
bullet hell,1005
cyberpunk,975
soccer,969
space,968
modern warfare,961
artificial intelligence,960
modern military,953
non-player character,953
multiple protagonists,938
relaxing,935
text adventure,902
zombies,900
tower defense,893
spaceship,880
crafting,878
leveling up,876
flight,867
colorful,863
fan translation - english,851
jrpg,849
hand-drawn,844
real-time combat,831
collectibles,825
dark,805
detective,803
war,794
tie-in,777
ghosts,777
world war ii - ww2,776
ai-generated artwork,774
freeware,773
crowdfunding - kickstarter,769
cartoony,765
brawler,756
xbox live,756
time limit,755
original soundtrack release,752
touch controls,751
superhero,737
bow and arrow,720
unlockables,717
dating simulation,713
difficult,712
controller support,709
leaderboard,692
vehicular combat,685
family friendly,681
walking simulator,676
tank,675
survival horror,672
xbox controller support for pc,672
japan only,670
minigame collection,669
playstation network,668
ninja,661
funny,660
steam families,659
upgradeable weapons,645
downloadable content,641
snow,639
helicopter,639
dog,638
procedural generation,631
vampire,627
building,625
stylized,623
kid friendly,622
dinosaurs,621
gore,620
football,620
mech,616
year in the title,614
homebrew,612
free demo,611
playstation tv support,608
pvp,608
motorsports,606
surreal,598
box art - real photos,588
deliberately retro,577
maze,576
bird,576
futuristic,576
baseball,566
greatest hits,565
protagonist's name in the title,562
vehicle combat,560
time travel,558
parody,558
games on demand,557
physics,556
cats,554
shmup,548
yume nikki fangame,548
based on - book,545
wii virtual console,544
turn-based combat,543
wizards,541
steam leaderboards,541
dungeon crawler,539
based on - comics,538
steam greenlight,537
military,536
treasure chest,530
gravity,530
2.5d,528
fishing,528
dark fantasy,524
shopping,524
airplane,521
cozy,521
pirates,519
microtransaction,515
day/night cycle,515
xbox live indie games,509
character customization,499
gambling,498
demo,496
japan,494
online multiplayer,492
rpg elements,489
city builder,485
customizable characters,485
full motion video,483
character creation,479
game jam,479
countdown timer,477
tactical turn-based combat,477
horse,473
teleportation,471
undead,471
eroge,471
character select screen,468
precision platforming,466
murder,466
steampunk,461
unlicensed game,457
level selection,457
split-screen multiplayer,456
frog,456
base building,451
flight simulator,448
golf,446
hand-to-hand combat,444
destructible environment,437
cheat code,436
combat,433
cooking,432
playstation plus,432
wasd movement,431
fast paced,430
basketball,426
2d platformer,424
doujin game,422
traps,419
puzzle platformer,419
turn-based rpg,415
twin stick control,413
world map,413
moving platforms,410
dystopian,406
edutainment,406
retroachievements,404
checkpoints,402
action roguelike,402
low-poly,401
touhou project,401
fairy,400
crowdfunding,395
vertical scrolling,395
clicker,394
virtual console,394
motorcycle,391
farming,390
choices matter,388
touhou fangame,388
animals,388
motion control,386
realism,386
mercenary,386
spider,385
idle game,385
comic book,383
logic puzzle,383
xbox one backwards compatibility,380
grid-based movement,379
deck-building,376
life simulation,375
nft,374
pax east 2016,373
conversation,371
darkness,370
psone classics,366
casual game,365
dancing,365
rabbit,364
experimental,363
crossover,363
dating,363
gamersgate,361
western,361
espionage,360
steam play,359
battle,353
xbox 360 backwards compatibility,352
party system,348
permadeath,347
game reference,347
word game,346
launch titles,346
witches,346
match 3,346
time management,345
wii u virtual console,344
moral decisions,344
8-bit,342
run and gun,341
rock music,340
save point,340
blockchain,340
dark humor,339
60 fps on consoles,337
pop culture reference,336
pre-release public testing,336
instant kill,336
grapple,336
violent,335
alternate costumes,335
resource management,332
potion,332
side quests,328
pax west 2016,328
endless runner,327
pax west 2017,322
nsfw version exists,322
narrative,322
economy,322
creepy,321
villain,319
